Share of energy from renewable sources,Domestic net greenhouse gas emissions,Environmental tax revenues,Wind power capacity (Kw)/1000 inhabitants,Photovoltaic capacity per inhabitant,pref_moora
0.14741,8.3,13820.15,468.5,745.1,0.01252755
0.23151,5.7,3176.26,108.9,479.6,0.0191218
0.18586,9.1,4957.42,31.7,230.1,-0.01220725
0.4373,6.5,7716.67,1227.3,594.8,0.11794837
0.21562,8.9,71407,823.6,974.3,-0.18352086
0.4095,9.5,995.14,275.3,585.7,0.05089771
0.15243,11.1,4909.09,897.4,84.5,0.05964182
0.25269,6.5,9257,502.4,619.6,0.0364026
0.24981,4.5,24640,640,636.6,-0.01185908
0.22462,5,49859,328.4,230,-0.16528408
0.28088,5.2,2575.87,300.4,119.7,0.02757774
0.19594,5.6,54224,209.1,513.6,-0.18509603
0.20213,8.6,661.05,171.1,658.2,0.03790187
0.43223,7.8,949.88,72.8,187.5,0.01872507
0.31926,4.4,1188.66,450.8,407.7,0.06208661
0.14312,10.6,1016.39,314.6,611.4,0.04295507
0.17117,5.1,4249.89,33.8,607.8,0.01106772
0.15111,4.1,315.55,0.2,417,0.01695097
0.17588,8.2,29983,603.5,1342.1,-0.01646733
0.416,8.3,9533.28,433.3,570.8,0.03126139
0.16651,8.6,19181.2,256.5,464.1,-0.04107546
0.35154,4.8,5378.36,555,373,0.05378374
0.25782,3,7294.16,162.7,100.6,-0.0040775
0.25066,5,1791.44,1.6,488.4,0.01687194
0.16991,5.2,2456.04,0.7,116.2,-0.00499224
0.5075,9.5,6182,1248.4,183,0.10846627
0.66393,1.2,10856.27,1533.4,379.6,0.14116658
